team1,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
Chennai Super Kings,,7.0,3.0,10.0,,12.0,1.0,10.0,17.0,3.0,13.0,,,11.0,7.0
Deccan Chargers,3.0,,,6.0,,6.0,,6.0,6.0,2.0,6.0,,,4.0,
Delhi Capitals,2.0,,,,,3.0,,2.0,4.0,,3.0,,,2.0,3.0
Delhi Daredevils,8.0,5.0,,,2.0,12.0,1.0,12.0,12.0,3.0,10.0,1.0,1.0,10.0,6.0
Gujarat Lions,,,,2.0,,2.0,,2.0,2.0,,,1.0,1.0,3.0,3.0
Kings XI Punjab,11.0,4.0,1.0,10.0,2.0,,,13.0,13.0,3.0,13.0,1.0,1.0,12.0,8.0
Kochi Tuskers Kerala,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,
Kolkata Knight Riders,12.0,3.0,2.0,9.0,2.0,14.0,1.0,,14.0,2.0,13.0,1.0,1.0,12.0,9.0
Mumbai Indians,13.0,4.0,2.0,10.0,2.0,13.0,1.0,13.0,,3.0,13.0,3.0,1.0,10.0,9.0
Pune Warriors,3.0,2.0,,3.0,,3.0,1.0,3.0,3.0,,2.0,,,2.0,1.0
RCB,14.0,7.0,2.0,11.0,2.0,14.0,1.0,14.0,17.0,3.0,11.0,1.0,1.0,,10.0
Rajasthan Royals,10.0,3.0,1.0,8.0,,8.0,1.0,9.0,9.0,3.0,,,,11.0,7.0
Rising Pune Supergiant,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0
Rising Pune Supergiants,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0
Sunrisers Hyderabad,7.0,,3.0,6.0,2.0,8.0,,10.0,7.0,1.0,6.0,1.0,1.0,7.0,
